alpha,lamba,epsilon,number of hidden layers,number of neurons for hidden layers,accuracy,F1 score
0.6,0.0,1e-7,1,[4],0.7013605442176871,0.06862745098039216
0.6,0.0,1e-7,1,[6],0.8106227106227106,0.5764622425629291
0.6,0.0,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.6,0.0,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.6,0.0,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
0.6,0.1,1e-7,1,[4],0.7983778126635269,0.5453503719773743
0.6,0.1,1e-7,1,[6],0.8106227106227106,0.5792208173215039
0.6,0.1,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.6,0.1,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.6,0.1,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
0.7,0.0,1e-7,1,[4],0.7187859759288331,0.1240274599542334
0.7,0.0,1e-7,1,[6],0.8065410779696494,0.571761508514369
0.7,0.0,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.7,0.0,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.7,0.0,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
0.7,0.1,1e-7,1,[4],0.8085818942961801,0.574297740398427
0.7,0.1,1e-7,1,[6],0.8111459968602827,0.5811398456615848
0.7,0.1,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.7,0.1,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.7,0.1,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
0.8,0.0,1e-7,1,[4],0.8085818942961801,0.574297740398427
0.8,0.0,1e-7,1,[6],0.8065410779696494,0.571761508514369
0.8,0.0,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.8,0.0,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.8,0.0,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
0.8,0.1,1e-7,1,[4],0.8106227106227106,0.5792208173215039
0.8,0.1,1e-7,1,[6],0.8085818942961801,0.574297740398427
0.8,0.1,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.8,0.1,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.8,0.1,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
