alpha,lamba,epsilon,number of hidden layers,number of neurons for hidden layers,accuracy,F1 score
0.6,0.0,1e-7,1,[4],0.8233333333333335,0.5321428571428571
0.6,0.0,1e-7,1,[6],0.8633333333333333,0.6256709956709956
0.6,0.0,1e-7,2,"[2, 2]",0.755,0.0
0.6,0.0,1e-7,2,"[4, 4]",0.8700000000000001,0.7101948051948052
0.6,0.0,1e-7,3,"[4, 4, 4]",0.755,0.0
0.6,0.1,1e-7,1,[4],0.8683333333333334,0.6347619047619047
0.6,0.1,1e-7,1,[6],0.8683333333333334,0.6488095238095238
0.6,0.1,1e-7,2,"[2, 2]",0.755,0.0
0.6,0.1,1e-7,2,"[4, 4]",0.755,0.0
0.6,0.1,1e-7,3,"[4, 4, 4]",0.755,0.0
0.7,0.0,1e-7,1,[4],0.8433333333333332,0.5300666000666001
0.7,0.0,1e-7,1,[6],0.8533333333333333,0.6397186147186147
0.7,0.0,1e-7,2,"[2, 2]",0.755,0.0
0.7,0.0,1e-7,2,"[4, 4]",0.8516666666666666,0.5956709956709957
0.7,0.0,1e-7,3,"[4, 4, 4]",0.755,0.0
0.7,0.1,1e-7,1,[4],0.755,0.0
0.7,0.1,1e-7,1,[6],0.8633333333333333,0.6397186147186147
0.7,0.1,1e-7,2,"[2, 2]",0.755,0.0
0.7,0.1,1e-7,2,"[4, 4]",0.755,0.0
0.7,0.1,1e-7,3,"[4, 4, 4]",0.755,0.0
0.8,0.0,1e-7,1,[4],0.755,0.0
0.8,0.0,1e-7,1,[6],0.8433333333333334,0.6306277056277056
0.8,0.0,1e-7,2,"[2, 2]",0.755,0.0
0.8,0.0,1e-7,2,"[4, 4]",0.8833333333333334,0.6505122655122655
0.8,0.0,1e-7,3,"[4, 4, 4]",0.755,0.0
0.8,0.1,1e-7,1,[4],0.755,0.0
0.8,0.1,1e-7,1,[6],0.8683333333333334,0.6347619047619047
0.8,0.1,1e-7,2,"[2, 2]",0.8283333333333334,0.5732900432900433
0.8,0.1,1e-7,2,"[4, 4]",0.8433333333333334,0.6388328338328338
0.8,0.1,1e-7,3,"[4, 4, 4]",0.755,0.0
