alpha,lamba,epsilon,number of hidden layers,number of neurons for hidden layers,accuracy,F1 score
0.6,0.0,1e-7,1,[4],0.7807070707070707,0.8327715276601921
0.6,0.0,1e-7,1,[6],0.7971861471861472,0.83986783412875
0.6,0.0,1e-7,2,"[2, 2]",0.614935064935065,0.7614987781699702
0.6,0.0,1e-7,2,"[4, 4]",0.614935064935065,0.7614987781699702
0.6,0.0,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
0.6,0.1,1e-7,1,[4],0.7894083694083693,0.8345873597181676
0.6,0.1,1e-7,1,[6],0.8018181818181818,0.8456824099477716
0.6,0.1,1e-7,2,"[2, 2]",0.614935064935065,0.7614987781699702
0.6,0.1,1e-7,2,"[4, 4]",0.614935064935065,0.7614987781699702
0.6,0.1,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
0.7,0.0,1e-7,1,[4],0.7916305916305916,0.8356397399569483
0.7,0.0,1e-7,1,[6],0.7994083694083695,0.8432461816719853
0.7,0.0,1e-7,2,"[2, 2]",0.614935064935065,0.7614987781699702
0.7,0.0,1e-7,2,"[4, 4]",0.614935064935065,0.7614987781699702
0.7,0.0,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
0.7,0.1,1e-7,1,[4],0.7940404040404041,0.8369803981523182
0.7,0.1,1e-7,1,[6],0.7892207792207792,0.831995852834547
0.7,0.1,1e-7,2,"[2, 2]",0.614935064935065,0.7614987781699702
0.7,0.1,1e-7,2,"[4, 4]",0.7286724386724387,0.8148170864677045
0.7,0.1,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
0.8,0.0,1e-7,1,[4],0.7981096681096681,0.841838171093259
0.8,0.0,1e-7,1,[6],0.796998556998557,0.8399350232172189
0.8,0.0,1e-7,2,"[2, 2]",0.614935064935065,0.7614987781699702
0.8,0.0,1e-7,2,"[4, 4]",0.614935064935065,0.7614987781699702
0.8,0.0,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
0.8,0.1,1e-7,1,[4],0.7958874458874459,0.8403267102553075
0.8,0.1,1e-7,1,[6],0.7938528138528138,0.8377628046872585
0.8,0.1,1e-7,2,"[2, 2]",0.614935064935065,0.7614987781699702
0.8,0.1,1e-7,2,"[4, 4]",0.614935064935065,0.7614987781699702
0.8,0.1,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
